start_ns,duration_ns,status
1780601481016796000,3090625,201
1780601481141738000,4257917,201
1780601481266379000,5411500,201
1780601481391740000,3000625,201
1780601481516370000,5456875,201
1780601481641781000,5080208,201
1780601481766717000,3048000,201
1780601481890798000,3267125,201
1780601482016655000,3643333,201
1780601482141522000,4332458,201
1780601482266342000,5745875,201
1780601482391387000,4977333,201
1780601482516744000,8575875,201
1780601482641437000,8280458,201
1780601482766249000,4720959,201
1780601482891796000,5957334,201
1780601483016770000,2348583,201
1780601483141709000,2663750,201
1780601483266725000,3734250,201
1780601483391697000,3854250,201
1780601483516312000,3803375,201
1780601483641658000,2675542,201
1780601483766321000,9072958,201
1780601483891793000,4557958,201
1780601484016702000,4622583,201
1780601484141720000,4138875,201
1780601484266291000,6050709,201
1780601484391728000,5573000,201
1780601484516711000,5053083,201
1780601484641286000,4165000,201
1780601484766693000,5343208,201
1780601484891304000,5438791,201
1780601485016227000,5030333,201
1780601485141266000,2887250,201
1780601485266691000,6013041,201
1780601485391688000,4130917,201
1780601485516250000,4160042,201
1780601485641746000,5068166,201
1780601485766658000,3424083,201
1780601485891676000,5201458,201
1780601486016275000,4387125,201
1780601486141673000,4179542,201
1780601486265797000,3344583,201
1780601486391701000,4345750,201
1780601486516704000,4243875,201
1780601486641658000,5093042,201
1780601486766686000,5483834,201
1780601486891302000,5921667,201
1780601487016608000,4047792,201
1780601487141292000,5314750,201
1780601487266615000,3941542,201
1780601487391698000,4903875,201
1780601487515627000,3920291,201
1780601487641598000,5980667,201
1780601487766672000,3086333,201
1780601487891253000,3833583,201
1780601488016614000,5280292,201
1780601488141654000,5490667,201
1780601488266243000,4917709,201
1780601488391597000,4983250,201
1780601488516186000,4419708,201
1780601488641592000,3896083,201
1780601488766664000,5201625,201
1780601488891623000,5047292,201
1780601489016185000,4416791,201
1780601489141635000,4960500,201
1780601489266598000,4564458,201
1780601489391204000,3716708,201
1780601489516643000,4904292,201
1780601489641493000,6344333,201
1780601489766638000,5142959,201
1780601489891626000,2915042,201
1780601490016591000,3688834,201
1780601490141596000,5257459,201
1780601490266634000,5071208,201
1780601490391598000,5522000,201
1780601490516155000,4792875,201
1780601490641570000,14021917,201
1780601490766609000,11435083,201
1780601490891683000,7445500,201
1780601491016572000,3064000,201
1780601491141229000,5546792,201
1780601491266604000,5564209,201
1780601491391637000,5564291,201
1780601491516352000,3826292,201
1780601491641216000,5549792,201
1780601491766458000,6315417,201
1780601491890684000,6777458,201
1780601492016558000,2485250,201
1780601492141565000,5353333,201
1780601492266559000,5202250,201
1780601492391535000,3284250,201
1780601492516105000,3725667,201
1780601492641524000,5756792,201
1780601492766552000,4325792,201
1780601492891496000,3086375,201
1780601493016493000,3556875,201
1780601493141515000,4340000,201
1780601493266559000,3803875,201
1780601493391126000,4594417,201
1780601493516559000,4420542,201
1780601493641534000,4403750,201
1780601493766132000,6553000,201
1780601493891189000,7656667,201
1780601494016500000,2705042,201
1780601494141501000,4341167,201
1780601494266512000,5498750,201
1780601494391118000,4879791,201
1780601494516551000,5275084,201
1780601494641546000,5164084,201
1780601494766479000,5040625,201
1780601494891085000,3830750,201
1780601495016477000,5071792,201
1780601495141475000,4041417,201
