start_ns,duration_ns,status
1780601427370349000,1726667,200
1780601427495303000,1906666,200
1780601427620293000,3157416,200
1780601427745287000,4388625,200
1780601427869332000,2166250,200
1780601427995285000,1725833,200
1780601428120257000,2891458,200
1780601428245291000,4282291,200
1780601428369979000,2726667,200
1780601428495237000,1788917,200
1780601428620249000,3061875,200
1780601428745262000,3505333,200
1780601428870239000,2555000,200
1780601428995249000,4219042,200
1780601429120254000,3395875,200
1780601429245238000,1826958,200
1780601429370271000,2747250,200
1780601429494825000,2019500,200
1780601429619775000,2828750,200
1780601429744730000,2369292,200
1780601429870348000,4462084,200
1780601429995252000,4836417,200
1780601430120241000,3747042,200
1780601430245232000,2079667,200
1780601430370180000,2181542,200
1780601430499237000,5067666,200
1780601430620120000,3763958,200
1780601430744732000,3371458,200
1780601430870211000,2988458,200
1780601430994925000,1359083,200
1780601431120109000,1618583,200
1780601431245170000,2373166,200
1780601431369608000,19606917,200
1780601431495155000,1316167,200
1780601431620269000,3342833,200
1780601431745169000,3107666,200
1780601431870214000,2413958,200
1780601431994939000,1914792,200
1780601432120244000,3072750,200
1780601432245141000,2099084,200
1780601432370177000,3100125,200
1780601432495231000,5841750,200
1780601432620153000,1830208,200
1780601432745175000,2527084,200
1780601432869302000,2565375,200
1780601432994599000,1502542,200
1780601433120124000,2099042,200
1780601433245225000,2542708,200
1780601433370188000,3577625,200
1780601433494807000,2410125,200
1780601433620164000,3044333,200
1780601433745173000,4702708,200
1780601433870146000,2885084,200
1780601433995114000,2617250,200
1780601434120191000,4417833,200
1780601434245021000,2892459,200
1780601434370137000,3260125,200
1780601434495141000,2874459,200
1780601434620116000,5578667,200
1780601434745197000,2213000,200
1780601434869584000,3651167,200
1780601434995146000,2935333,200
1780601435119138000,3122209,200
1780601435245107000,2449250,200
1780601435370128000,2231625,200
1780601435495147000,3884084,200
1780601435619586000,1922292,200
1780601435745100000,3252959,200
1780601435870080000,2564125,200
1780601435994780000,9732375,200
1780601436120137000,3445083,200
1780601436245079000,2228834,200
1780601436369448000,2880875,200
1780601436494145000,1719167,200
1780601436620070000,1779708,200
1780601436745083000,2390833,200
1780601436870053000,6798000,200
1780601436995075000,2587875,200
1780601437120078000,4172709,200
1780601437245133000,2835166,200
1780601437370071000,2537167,200
1780601437495111000,6367708,200
1780601437620063000,1878084,200
1780601437745064000,5034875,200
1780601437869145000,2735500,200
1780601437995075000,2755000,200
1780601438119334000,3019125,200
1780601438245089000,2611750,200
1780601438369297000,3152458,200
1780601438495018000,2738250,200
1780601438620038000,2876292,200
1780601438745045000,2622875,200
1780601438869838000,2350834,200
1780601438994276000,2078875,200
1780601439120139000,2428375,200
1780601439245068000,3560750,200
1780601439370039000,3483792,200
1780601439495068000,1896875,200
1780601439619330000,12638583,200
1780601439744418000,2133334,200
1780601439870032000,5531542,200
1780601439994997000,4151333,200
1780601440120014000,2153500,200
1780601440245006000,3910750,200
1780601440370075000,3535666,200
1780601440495029000,2661208,200
1780601440620026000,3418083,200
1780601440745023000,3202916,200
1780601440870923000,2588125,200
1780601440994777000,1648958,200
1780601441119321000,2503209,200
1780601441245019000,2699291,200
1780601441370008000,3151375,200
1780601441494328000,2869250,200
1780601441619990000,1672334,200
1780601441744982000,2451959,200
1780601441869991000,2446375,200
1780601441994978000,2571500,200
1780601442119988000,3104667,200
1780601442244943000,1794125,200
1780601442370003000,3592708,200
1780601442495015000,2561042,200
1780601442620080000,2348083,200
1780601442745039000,2783541,200
1780601442869952000,2320667,200
1780601442995005000,1364917,200
1780601443119967000,2636834,200
1780601443244984000,3693042,200
1780601443369983000,2150959,200
1780601443494370000,2816417,200
