epoch_s,container,cpu_pct,mem_MiB
1781193003,backend-billing-prometheus-1,0.37,94.56
1781193003,backend-billing-api-1,1.05,34.02
1781193003,backend-billing-db-1,0.27,50.7
1781193003,backend-billing-jaeger-1,0.02,13.25
1781193003,minikube,21.24,1024
1781193008,backend-billing-prometheus-1,0.52,94.56
1781193008,backend-billing-api-1,107.40,38.78
1781193008,backend-billing-db-1,245.82,66.63
1781193008,backend-billing-jaeger-1,0.07,13.25
1781193008,minikube,30.17,1024
1781193013,backend-billing-prometheus-1,0.49,94.78
1781193013,backend-billing-api-1,197.10,43.33
1781193013,backend-billing-db-1,416.88,66.18
1781193013,backend-billing-jaeger-1,0.01,13.25
1781193013,minikube,12.65,1024
1781193018,backend-billing-prometheus-1,0.26,95.39
1781193018,backend-billing-api-1,190.57,44.23
1781193018,backend-billing-db-1,440.20,66.72
1781193018,backend-billing-jaeger-1,0.01,13.25
1781193018,minikube,19.16,1024
1781193023,backend-billing-prometheus-1,0.18,96.02
1781193023,backend-billing-api-1,262.04,49.41
1781193023,backend-billing-db-1,398.19,63.88
1781193023,backend-billing-jaeger-1,0.02,13.25
1781193023,minikube,12.45,1024
1781193028,backend-billing-prometheus-1,0.19,96.77
1781193028,backend-billing-api-1,259.78,47.35
1781193028,backend-billing-db-1,359.46,72.99
1781193028,backend-billing-jaeger-1,0.04,13.25
1781193028,minikube,28.79,1024
1781193033,backend-billing-prometheus-1,0.34,97.64
1781193033,backend-billing-api-1,265.11,47.18
1781193033,backend-billing-db-1,378.90,71.91
1781193033,backend-billing-jaeger-1,0.04,13.25
1781193033,minikube,14.99,1024
1781193038,backend-billing-prometheus-1,1.08,98.29
1781193038,backend-billing-api-1,280.63,49.93
1781193038,backend-billing-db-1,364.93,63.82
1781193038,backend-billing-jaeger-1,0.07,13.25
1781193038,minikube,32.59,1024
1781193043,backend-billing-prometheus-1,0.25,98.71
1781193043,backend-billing-api-1,287.87,48.74
1781193043,backend-billing-db-1,355.74,68.99
1781193043,backend-billing-jaeger-1,0.01,13.25
1781193043,minikube,9.39,1024
